"scenario","metric","pop","before","after","diff","timescale","basis","data_type","resolution"
9,"F","spp_3",1.08532310328682,0.28350339623818,-73.878433493251,"weekly","high_pop","real_pop",1
10,"F","spp_3",1.08532310328682,0.341557574066717,-68.5294109162208,"monthly","high_pop","real_pop",1
11,"F","spp_3",1.08532310328682,0.341557574066717,-68.5294109162208,"yearly","high_pop","real_pop",1
6,"F","spp_3",1.08532310328682,0.520990389457658,-51.9967475233987,"yearly","high_ratio","commercial",1
21,"F","spp_4",0.466133793069757,0.22698121893387,-51.3055645592504,"yearly","high_pop","survey",5
1,"F","spp_3",1.08532310328682,0.57800082800032,-46.743893477446,"weekly","high_pop","commercial",1
45,"F","spp_3",1.08532310328682,0.57988403957922,-46.5703772615654,"yearly","high_pop","commercial",20
48,"F","spp_3",1.08532310328682,0.579890708208818,-46.5697628243,"yearly","high_ratio","commercial",20
9,"Bio","spp_1",82586.6752396837,44649.5779973675,-45.9360994158136,"weekly","high_pop","real_pop",1
23,"F","spp_3",1.08532310328682,0.587330382577482,-45.8842826805406,"weekly","high_pop","real_pop",5
7,"F","spp_3",1.08532310328682,0.592919011262244,-45.3693550366125,"yearly","high_pop","survey",1
2,"F","spp_3",1.08532310328682,0.594263904392296,-45.2454386539261,"monthly","high_pop","commercial",1
7,"F","spp_4",0.466133793069757,0.25918912596397,-44.395980334946,"yearly","high_pop","survey",1
50,"F","spp_3",1.08532310328682,0.63448607432551,-41.5394298339348,"yearly","high_ratio","survey",20
10,"Bio","spp_1",82586.6752396837,48344.6022006439,-41.4619827468078,"monthly","high_pop","real_pop",1
11,"Bio","spp_1",82586.6752396837,48344.6022006439,-41.4619827468078,"yearly","high_pop","real_pop",1
3,"F","spp_3",1.08532310328682,0.636069583635823,-41.3935277237228,"yearly","high_pop","commercial",1
24,"F","spp_3",1.08532310328682,0.642952084161192,-40.7593847201762,"monthly","high_pop","real_pop",5
25,"F","spp_3",1.08532310328682,0.642952084161192,-40.7593847201762,"yearly","high_pop","real_pop",5
17,"F","spp_3",1.08532310328682,0.665052521788835,-38.7230844183846,"yearly","high_pop","commercial",5
15,"F","spp_3",1.08532310328682,0.703605167258232,-35.1709030124381,"weekly","high_pop","commercial",5
18,"F","spp_3",1.08532310328682,0.709046237572017,-34.6695711696617,"weekly","high_ratio","commercial",5
1,"Bio","spp_1",82586.6752396837,54254.3938539724,-34.3061169413651,"weekly","high_pop","commercial",1
43,"F","spp_3",1.08532310328682,0.718500042770719,-33.798512111758,"weekly","high_pop","commercial",20
19,"F","spp_3",1.08532310328682,0.722602015251748,-33.4205626818964,"monthly","high_ratio","commercial",5
16,"F","spp_3",1.08532310328682,0.723093713315002,-33.3752583792638,"monthly","high_pop","commercial",5
2,"Bio","spp_1",82586.6752396837,55067.9436398939,-33.3210309289298,"monthly","high_pop","commercial",1
23,"Bio","spp_1",82586.6752396837,55378.7506759127,-32.9446905143087,"weekly","high_pop","real_pop",5
24,"Bio","spp_1",82586.6752396837,55838.0498121316,-32.3885485762951,"monthly","high_pop","real_pop",5
25,"Bio","spp_1",82586.6752396837,55838.0498121316,-32.3885485762951,"yearly","high_pop","real_pop",5
3,"Bio","spp_1",82586.6752396837,56189.9942997409,-31.9623969161298,"yearly","high_pop","commercial",1
15,"Bio","spp_1",82586.6752396837,56355.05066541,-31.7625385670801,"weekly","high_pop","commercial",5
6,"Bio","spp_1",82586.6752396837,56615.4818522445,-31.4471957032601,"yearly","high_ratio","commercial",1
16,"Bio","spp_1",82586.6752396837,57365.3383974745,-30.5392325929233,"monthly","high_pop","commercial",5
19,"Bio","spp_1",82586.6752396837,58890.6284784185,-28.6923364967707,"monthly","high_ratio","commercial",5
51,"F","spp_3",1.08532310328682,0.774150995090814,-28.6709190335714,"weekly","high_pop","real_pop",20
21,"Bio","spp_1",82586.6752396837,58920.4398729159,-28.656239397074,"yearly","high_pop","survey",5
37,"F","spp_3",1.08532310328682,0.780709585823752,-28.0666205796754,"weekly","high_pop","real_pop",10
34,"F","spp_3",1.08532310328682,0.78545893394133,-27.6290229552266,"yearly","high_ratio","commercial",10
38,"F","spp_3",1.08532310328682,0.789780636439448,-27.2308279398408,"monthly","high_pop","real_pop",10
39,"F","spp_3",1.08532310328682,0.789780636439448,-27.2308279398408,"yearly","high_pop","real_pop",10
17,"Bio","spp_1",82586.6752396837,60196.4053805555,-27.1112377319307,"yearly","high_pop","commercial",5
5,"F","spp_3",1.08532310328682,0.79862096054948,-26.4162940850597,"monthly","high_ratio","commercial",1
21,"F","spp_3",1.08532310328682,0.801132984528692,-26.1848400626027,"yearly","high_pop","survey",5
20,"F","spp_3",1.08532310328682,0.8030222996362,-26.010761476992,"yearly","high_ratio","commercial",5
35,"F","spp_3",1.08532310328682,0.803349316748982,-25.9806306236275,"yearly","high_pop","survey",10
48,"Bio","spp_1",82586.6752396837,61638.2668560882,-25.3653610861545,"yearly","high_ratio","commercial",20
18,"Bio","spp_1",82586.6752396837,62204.7145625886,-24.6794784000475,"weekly","high_ratio","commercial",5
7,"Bio","spp_1",82586.6752396837,62596.5372351391,-24.2050402762056,"yearly","high_pop","survey",1
45,"Bio","spp_1",82586.6752396837,62704.9914913952,-24.0737185394469,"yearly","high_pop","commercial",20
44,"Bio","spp_1",82586.6752396837,63421.7494864716,-23.2058327782194,"monthly","high_pop","commercial",20
4,"F","spp_3",1.08532310328682,0.853255227742234,-21.3823768094302,"weekly","high_ratio","commercial",1
43,"Bio","spp_1",82586.6752396837,65313.6146445295,-20.9150695860128,"weekly","high_pop","commercial",20
44,"F","spp_3",1.08532310328682,0.863537633980492,-20.4349717272829,"monthly","high_pop","commercial",20
9,"Rec","spp_1",60113.3035434758,47885.7977424082,-20.3407649892745,"weekly","high_pop","real_pop",1
37,"Bio","spp_1",82586.6752396837,65810.7311368375,-20.3131365370491,"weekly","high_pop","real_pop",10
30,"Bio","spp_1",82586.6752396837,65898.1686857487,-20.207262861111,"monthly","high_pop","commercial",10
51,"F","spp_2",0.788847477234695,0.633148243328439,-19.737558704258,"weekly","high_pop","real_pop",20
52,"F","spp_1",0.455140736818498,0.368139030563413,-19.1153415234243,"monthly","high_pop","real_pop",20
53,"F","spp_1",0.455140736818498,0.368139030563413,-19.1153415234243,"yearly","high_pop","real_pop",20
51,"F","spp_4",0.466133793069757,0.378457052802196,-18.8093507853528,"weekly","high_pop","real_pop",20
29,"Bio","spp_1",82586.6752396837,67075.6380108315,-18.7815252083171,"weekly","high_pop","commercial",10
10,"Rec","spp_1",60113.3035434758,48862.1908458061,-18.7165103803229,"monthly","high_pop","real_pop",1
11,"Rec","spp_1",60113.3035434758,48862.1908458061,-18.7165103803229,"yearly","high_pop","real_pop",1
54,"F","spp_3",1.08532310328682,0.894014578619501,-17.6268729641854,"weekly","high_ratio","real_pop",20
55,"F","spp_3",1.08532310328682,0.894014578619501,-17.6268729641854,"monthly","high_ratio","real_pop",20
56,"F","spp_3",1.08532310328682,0.894014578619501,-17.6268729641854,"yearly","high_ratio","real_pop",20
34,"Bio","spp_1",82586.6752396837,68340.8146306988,-17.2495872580419,"yearly","high_ratio","commercial",10
6,"F","spp_4",0.466133793069757,0.388574104069463,-16.6389328886711,"yearly","high_ratio","commercial",1
38,"Bio","spp_1",82586.6752396837,69042.7180600617,-16.3996881340902,"monthly","high_pop","real_pop",10
