"scenario","timescale","basis","data_type","resolution"
1,"weekly","high_pop","commercial",1
2,"monthly","high_pop","commercial",1
3,"yearly","high_pop","commercial",1
4,"weekly","high_ratio","commercial",1
5,"monthly","high_ratio","commercial",1
6,"yearly","high_ratio","commercial",1
9,"yearly","high_pop","survey",1
12,"yearly","high_ratio","survey",1
13,"weekly","high_pop","real_pop",1
14,"monthly","high_pop","real_pop",1
15,"yearly","high_pop","real_pop",1
16,"weekly","high_ratio","real_pop",1
17,"monthly","high_ratio","real_pop",1
18,"yearly","high_ratio","real_pop",1
19,"weekly","high_pop","commercial",5
20,"monthly","high_pop","commercial",5
21,"yearly","high_pop","commercial",5
22,"weekly","high_ratio","commercial",5
23,"monthly","high_ratio","commercial",5
24,"yearly","high_ratio","commercial",5
27,"yearly","high_pop","survey",5
30,"yearly","high_ratio","survey",5
31,"weekly","high_pop","real_pop",5
32,"monthly","high_pop","real_pop",5
33,"yearly","high_pop","real_pop",5
34,"weekly","high_ratio","real_pop",5
35,"monthly","high_ratio","real_pop",5
36,"yearly","high_ratio","real_pop",5
37,"weekly","high_pop","commercial",10
38,"monthly","high_pop","commercial",10
39,"yearly","high_pop","commercial",10
40,"weekly","high_ratio","commercial",10
41,"monthly","high_ratio","commercial",10
42,"yearly","high_ratio","commercial",10
45,"yearly","high_pop","survey",10
48,"yearly","high_ratio","survey",10
49,"weekly","high_pop","real_pop",10
50,"monthly","high_pop","real_pop",10
51,"yearly","high_pop","real_pop",10
52,"weekly","high_ratio","real_pop",10
53,"monthly","high_ratio","real_pop",10
54,"yearly","high_ratio","real_pop",10
55,"weekly","high_pop","commercial",20
56,"monthly","high_pop","commercial",20
57,"yearly","high_pop","commercial",20
58,"weekly","high_ratio","commercial",20
59,"monthly","high_ratio","commercial",20
60,"yearly","high_ratio","commercial",20
63,"yearly","high_pop","survey",20
66,"yearly","high_ratio","survey",20
67,"weekly","high_pop","real_pop",20
68,"monthly","high_pop","real_pop",20
69,"yearly","high_pop","real_pop",20
70,"weekly","high_ratio","real_pop",20
71,"monthly","high_ratio","real_pop",20
72,"yearly","high_ratio","real_pop",20
